"individualID","individualIdSource","species","sex","genotype","genotypeBackground","room","litter","matingID","dateBirth","dateDeath","treatmentType","age"
"S-9",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","24M-apoE2-4",NA,"10/25/2016","01/23/2017",NA,"24M"
"S-10",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","24M-apoE2-10",NA,"42595","42964",NA,"24M"
"S-11",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","3M-apoE3-23",NA,"42546","42922",NA,"3M"
"S-12",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","12M-apoE4-4",NA,"42588","42964",NA,"12M"
"S-13",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","24M-apoE3-4",NA,"42559","42927",NA,"24M"
"S-14",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","12M-apoE3-4",NA,"42559","42927",NA,"12M"
"S-15",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","24M-apoE4-2",NA,"42170","42916",NA,"24M"
"S-16",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","24M-apoE2-2",NA,"42170","42916",NA,"24M"
"S-17",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","24M-apoE3-10",NA,"42170","42916",NA,"24M"
"S-18",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","3M-apoE4-22",NA,"42170","42916",NA,"3M"
"S-19",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","12M-apoE3-12",NA,"42170","42916",NA,"12M"
"S-20",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","3M-apoE2-20",NA,"42284","43000",NA,"3M"
"S-21",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","24M-apoE3-11",NA,"42284","43000",NA,"24M"
"S-22",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","24M-apoE2-3",NA,"42284","43000",NA,"24M"
"S-23",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","12M-apoE3-1",NA,"42284","43000",NA,"12M"
"S-24",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","24M-apoE4-6",NA,"42276","43000",NA,"24M"
"S-25",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","3M-apoE3-10",NA,"42276","43000",NA,"3M"
"S-26",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","12M-apoE4-10",NA,"42276","43000",NA,"12M"
"S-27",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","24M-apoE4-13",NA,"42173","42916",NA,"24M"
"S-28",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","24M-apoE4-11",NA,"42170","42916",NA,"24M"
"S-29",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","3M-apoE4-1",NA,"42170","42916",NA,"3M"
"S-30",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","3M-apoE2-10",NA,"42170","42916",NA,"3M"
"S-31",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","12M-apoE2-3",NA,"42170","42916",NA,"12M"
"S-32",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","12M-apoE2-4",NA,"42170","42916",NA,"12M"
"S-33",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","12M-apoE4-3",NA,"42170","42916",NA,"12M"
"S-34",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","3M-apoE4-4",NA,"42170","42916",NA,"3M"
"S-35",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","12M-apoE3-2",NA,"42170","42916",NA,"12M"
"S-36",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","12M-apoE3-9",NA,"42170","42916",NA,"12M"
"S-37",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","24M-apoE2-9",NA,"42236","42965",NA,"24M"
"S-38",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","12M-apoE4-12",NA,"42236","42965",NA,"12M"
"S-39",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","24M-apoE3-12",NA,"42275","43004",NA,"24M"
"S-40",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","3M-apoE4-19",NA,"42275","43004",NA,"3M"
"S-41",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","3M-apoE2-32",NA,"42247","42965",NA,"3M"
"S-42",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","3M-apoE3-7",NA,"42101","42871",NA,"3M"
"S-43",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","3M-apoE3-25",NA,"42125","42871",NA,"3M"
"S-44",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","3M-apoE4-21",NA,"42125","42871",NA,"3M"
"S-45",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","12M-apoE2-11",NA,"42125","42871",NA,"12M"
"S-46",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","24M-apoE4-12",NA,"42125","42871",NA,"24M"
"S-47",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","12M-apoE2-12",NA,"42125","42871",NA,"12M"
"S-48",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","3M-apoE3-24",NA,"42125","42871",NA,"3M"
"S-49",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","24M-apoE2-12",NA,"42125","42871",NA,"24M"
"S-50",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","24M-apoE4-3",NA,"42125","42871",NA,"24M"
"S-51",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","3M-apoE2-13",NA,"42125","42871",NA,"3M"
"S-52",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","12M-apoE2-1",NA,"42173","42916",NA,"12M"
"S-53",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","24M-apoE3-3",NA,"42244","42965",NA,"24M"
"S-54",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","12M-apoE4-1",NA,"42245","42965",NA,"12M"
"S-55",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","3M-apoE2-26",NA,"42246","42965",NA,"3M"
"S-56",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","12M-apoE4-2",NA,"08/25/2016","11/23/2016",NA,"12M"
"S-57",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","12M-apoE2-10",NA,"10/27/2016","01/25/2017",NA,"12M"
"S-58",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","24M-apoE3-1",NA,"10/27/2016","01/25/2017",NA,"24M"
"S-59",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","3M-apoE4-20",NA,"09/07/2016","12/06/2016",NA,"3M"
